host,ip,device,used_pct,mount
APBOGDISCRMCOLC,10.181.5.29,/dev/mapper/rootVG-usr,73,/usr
APORACLEIDMAN01,10.181.3.77,/dev/mapper/rhel00-app,81,/app
APPDESPADOCK_PRD,10.181.5.64,/dev/mapper/rootVG-usr,70,/usr
APPDESPADOCKQA,10.181.11.32,/dev/mapper/rootVG-usr,78,/usr
BATMAN,10.181.3.25,/dev/mapper/centos-data,88,/data
BATMAN_NEW,10.181.5.224,/dev/sda2,84,/boot
CORBEMOVIL_NEW,10.181.5.213,/dev/mapper/centos-movilventas,84,/movilventas
APPDESPADOCK_PRD,10.181.5.64,/dev/sda2,83,/boot
APPDESPADOCKQA,10.181.11.32,/dev/sda2,83,/boot
BATMAN,10.181.3.25,10.181.7.1:/data/col1/linux,92,/datadomain
CRM_BD1,10.181.0.152,/dev/mapper/backup_vg-backup,74,/backup
CORBEMOVIL_NEW,10.181.5.213,/dev/mapper/centos-var_lib_mysql,84,/var/lib/mysql
CRM_BD3_PRD,10.181.4.103,/dev/mapper/rhel-home,76,/home
CRM_BD4,10.181.5.219,/dev/mapper/ol-usr,73,/usr
CRM_DB_NEW,10.181.5.214,/dev/mapper/ol-usr,74,/usr
CRM_FILE,10.181.3.36,/dev/mapper/vg_data-data,93,/img
CRM01_K8S,10.181.3.105,/dev/mapper/rootvg-var,100,/var
CRM_BD3_PRD,10.181.4.103,/dev/mapper/data-binlogs,75,/binlogs
CRM_BD4,10.181.5.219,/dev/sdb2,79,/boot
CRM_DB_NEW,10.181.5.214,/dev/sda2,79,/boot
CRM01_K8S,10.181.3.105,overlay,100,/var/lib/docker/overlay2/f413963b8b54e4b797e1a27168d9a4a06f645196fd2246af217a9c381b613aa1/merged
CRM_BD3_PRD,10.181.4.103,/dev/mapper/data-data_mysql,83,/var/lib/mysql
CRM04_K8S,10.181.4.11,/dev/mapper/vg_data-data,71,/data
CRM05_K8S,10.181.4.16,/dev/mapper/rootvg-root,70,/
DBDESPACHOS03,10.181.4.244,/dev/mapper/rootJG-data,73,/data
CRM01_K8S,10.181.3.105,overlay,100,/var/lib/docker/overlay2/c62712450fc582da1fdc64c342d90471170794f160306ae19140f745f303dcaf/merged
DBDLX2009,10.181.5.60,/dev/mapper/rooVG-wmsalk,81,/wmsalk
DBFACAUTBOGDIS01,N/A,/dev/mapper/rootVG-var,71,/var
CRM05_K8S,10.181.4.16,/dev/mapper/rootvg-data,79,/data
DBDESPACHOS03,10.181.4.244,10.181.7.1:/data/col1/linux,92,/datadomain
DBORACLEIDMAN02,10.181.3.79,/dev/mapper/rootVG-oradata,74,/oradata01
DBDLX2009,10.181.5.60,/dev/sda2,82,/boot
DBFACAUTBOGDIS01,N/A,overlay,71,/var/lib/docker/overlay2/9936df9e1c4c82176d7d5845c62e03c35aadd1113fb103593d7c43ecdf5a81fa/merged
DBREDCONTBOGDIS,10.181.5.70,/dev/mapper/rootVG-oradata,80,/oradata
