host,ip,device,used_pct,mount
r740-rac-geoposn1,192.168.71.10,/dev/mapper/rootVG-gi,75,/grid
r740-rac-geoposn2,192.168.71.20,/dev/mapper/rootVG-oracle,80,/oracle
alkexadbadm01vm1,140.136.66.121,/dev/mapper/VGExaDb-LVDbHome,92,/home
alkexadbadm01vm2,140.136.66.132,/dev/mapper/VGExaDb-LVDbOra1,72,/u01
alkexadbadm01vm4,140.136.66.154,/dev/mapper/VGExaDb-LVDbSys1,77,/
r740-rac-geoposn1,192.168.71.10,/dev/mapper/rootVG-oracle,71,/oracle
r740-rac-geoposn2,192.168.71.20,UNITY650F:/backup_geopos,76,/geoposbk
alkexadbadm01vm1,140.136.66.121,/dev/mapper/VGExaDb-LVDbVar1,70,/var
alkexadbadm01vm4,140.136.66.154,/dev/mapper/VGExaDb-LVDbVar1,78,/var
alkexadbadm01vm2,140.136.66.132,/dev/mapper/VGExaDb-LVDbVar1,73,/var
r740-rac-geoposn1,192.168.71.10,UNITY650F:/backup_geopos,76,/geoposbk
alkexadbadm01vm5,140.136.66.165,/dev/mapper/VGExaDb-LVDbSys1,72,/
alkexadbadm01vm1,140.136.66.121,/dev/mapper/VGExaDb-LVDbOra1,76,/u01
alkexadbadm01vm4,140.136.66.154,/dev/mapper/VGExaDbDisk.grid19.6.0.0.200114.img-LVDBDisk,72,/u01/app/19.0.0.0/grid
alkexadbadm01vm2,140.136.66.132,zfsbkgui2:/export/backup2-kpr,94,/backup2-kpr
alkexadbadm01vm1,140.136.66.121,zfsbkgui2:/export/backup2-kpr,94,/backup2-kpr
alkexadbadm01vm5,140.136.66.165,/dev/mapper/VGExaDb-LVDbHome,86,/home
alkexadbadm02vm2,140.136.66.133,/dev/mapper/VGExaDb-LVDbSys1,71,/
alkexadbadm02vm4,140.136.66.155,/dev/mapper/VGExaDb-LVDbSys1,74,/
alkexadbadm02vm1,140.136.66.122,/dev/mapper/VGExaDb-LVDbVar1,70,/var
alkexadbadm01vm5,140.136.66.165,/dev/mapper/VGExaDb-LVDbOra1,76,/u01
alkexadbadm02vm5,140.136.66.166,/dev/mapper/VGExaDb-LVDbVar1,70,/var
alkexadbadm02vm2,140.136.66.133,/dev/mapper/VGExaDb-LVDbOra1,72,/u01
alkexadbadm02vm4,140.136.66.155,/dev/mapper/VGExaDb-LVDbVar1,71,/var
